NOMBRE	EXPEDIENTE
ITVAL INDUSTRIA TECNOLOGICA DE VIDRIO Y ALUMINIO CIA.LTDA.	138476
ALMACEN PAPELITO ORIGINAL ORIPAPEL S.A.	726265
TRANSPORTES ORDONEZ CAMPOVERDE CIA. LTDA.	31952
PETROFINDI CIA. LTDA.	160245
IECOR S.A., INSTITUTO ECUATORIANO DEL CORAZON S.A.	168084
RESPALCORP S.A.	148824
GREENCARGO S.A.	121903
CLG S.A.	713710
INVESCIENCIAS S.A.	121165
GRUPOJAYE CIA.LTDA.	313106
CONNECTEDTHINGS SOLUCIONES TECNOLOGICAS CIA. LTDA.	177908
CURVEGLASS S.A.	157326
CARWASH-GPJ S.A.	310921
STRATEGIA EFEKTIVA STRAKTIVA S.A.	313959
TIM-NETWORK CIA.LTDA.	738791
ICOPMED TRAVEL CIA. LTDA.	165081
''CENTRO AGROPECUARO ''SUQUI & CHALAN CEINAS'' S.A.	706630
VALOPEF S.A.	166349
RADIO CANAL CIENTO SIETE SA RADIOSA	42082
TELEACCESS S.A.	49987
ECUALASER CIA. LTDA.	178519
CONSTRUGUARANDA S.A.	713961
COMPAÑIA DE TRANSPORTES CRIOLLO E HIJOS TRANSCRIOLLO S.A.	173008
ARQUITECTURA COMERCIAL ORUGADESIGN CIA.LTDA.	300363
CORPORACION PEZ AZUL PEZAZUL S.A.	310388
EQUALATINEXPRESS CIA.LTDA.	305741
CASTRO MORA ASOCIADOS CIA. LTDA.	54934
SENSORCONTROL SENSORES Y CONTROLADORES S.A.	700031
GREEN ROADS ORGANICS ORGANICGREEN S.A.	718873
PROMIGPART PROVEEDORA DE SUMINISTROS INDUSTRIALES CIA. LTDA.	89996
LORGSER S.A.	122308
VIVEPAPEL CIA.LTDA.	721320
IMPORTFAG COMPANY S.A.S.	321261
HEALTHFOOD & FITNESS S.A.	154480
SOTIC SOCIEDAD TECNICA COMERCIAL CIA LTDA	11804
URVINCOS URBANIZACIONES VIVIENDAS Y CONSTRUCCIONES CIA. LTDA.	50404
EKORIEGO CIA.LTDA.	719549
PREDIOS NAVALES PRENAVALSA SA	40660
ONLUS S.A.	115366
EQUIMAT S.A.	740932
MANTENIMIENTO CONSTRUCCIÓN NAVAL E INDUSTRIAL MACONAIN CIA. LTDA.	179590
ETTVEN S.A.	116057
EYMEN CORPORATION S.A.	137454
SOCIEDAD ANONIMA SAN ADOLFO CA	5620
CONEXIONES TECNOLÓGICAS CORPECONET S.A.	724450
OXIUS S.A.	123398
ATILOGISTICS CARGO CIA.LTDA.	171134
AGRIPLAN S.A.	72111
DISTRIBUIDORA JADASA S.A.	45268
HC-GLASS S.A.	716952
XAAX CIA.LTDA.	702509
ECUMIX S.A.	735289
GONACE S.A.	84643
EUS3 PREUNIVERSITARIO S.A.S.	734169
PETROLTRANS S.A. (CIA. TRANSPORTADORA DE DERIVADOS DE PETROLEO)	137411
INMOBILIARIA INMERISO S.A.	73029
ASESORAMIENTO GLOBAL INTEGRAL ABOGADOS ABBHV S.A.	308809
KAIZEN CONSTRUCTORA CIA.LTDA.	720605
ARLOS S.A.	106079
AUTOENDO S.A.	706741
URBANADVER CIA. LTDA.	174830
AGRISANJUSA S. A.	63822
DONUGAL CIA. LTDA.	33855
TRANSPORTE PESADO Y LOGISTICA TRANSPEMED S.A.	142953
EICOP S.A.	317726
CONSULTORES Y ASESORES FINANCIEROS FARFAN MEJIA FARMESIL CIA. LTDA.	26782
XOCTECHNOLOGIES CIA. LTDA.	60142
DELIMUNDO CIA. LTDA.	146317
LATINPLUS S.A.	125029
COMPAÑIA DE TRANSPORTE RAPIDS AND SURE S.A.	158360
PUBLICIDAD GRAFICA INTEGRAL METROPRINT S.A.	160069
MELTEC COMUNICACIONES ECUADOR MELCOMU S.A.	321198
PRODUCTORA HUELLA ESTUDIO HUELLAESTUDIO CIA.LTDA.	714642
SAHAS S.A.	169926
AGENCIA DE TURISMO DUAL VOYAGENCY TOURS & TRAVELS VT&T CIA.LTDA.	730601
GEMELCORP S.A.	106230
''SIGNALTELECOM CAYAMBE'' CIA.LTDA.	716282
INSUQUIMICA S.A.	315485
FASTSOL S.A.	145891
GARRUCHAS & EQUIPOS S.A. GARRUEQUIP	29578
OCPTECH ECUADOR C.L.	310381
TRANSFELUNEX COMPAÑIA DE TRANSPORTE PESADO S.A.	170065
LP-CONSULT CIA.LTDA.	300949
SOLUCIONES, DISENOS Y PROVISIONES DOBIN S.A.	76943
BIO-EFFORT LAGOS S.A.S.	732982
PROVIOIL RENTA CAR CIA. LTDA.	166495
TRANSPORTE DE CARGA PESADA COMERCIAL TRANSCARPEURCAR C.A.	708853
CORRAMER S.A.	600585
CONSULTORA JURIDICA VALERO & ASOCIADOS VALERO&ASOCIADOS S.A.	710991
COMPAÑIA NOVOBELLE S.A.	172577
ROCIO SALAS AGENCIA ASESORA PRODUCTORA DE SEGUROS CIA. LTDA.	601555
CONSTRUAGENCY S.A.	111605
MERAKIFLOWERS S.A.	729886
INTEGRA IP&LA CIA.LTDA.	305071
COMPANIA DE TRANSPORTE CARLOS CASTRO TRANSCASTRO S.A.	72773
PORPELLAS CIA.LTDA.	133678
SERVICIO INTEGRAL ATLASSECURITY CIA.LTDA.	311060
SERVICIOS MÉDICOS NEUROINNOVATION C&B CIA.LTDA.	706290
SKYINMOBILIA SOCIEDAD ANONIMA	92165
PLUSCUEROS ECUADOR S.A.	173920
VVISIONLASER S.A.	172296
COMPAÑIA DE TRANSPORTE DE CARGA PESADA HIGHPIEDRA S.A.	141389
CONSTRUKGLOBAL S.A.	722077
FRASEMAJU S.A.	175495
ENELOJOFILMS CIA. LTDA.	159066
SERVICENTRO PALMORA PALMORASERVI S.A.	727487
SEMEDIMAG CIA.LTDA.	708051
ALMAXI S.A.S.	322553
BUSINESS ADVISOR NETWORK BUADNET S.A.	141721
TRANSPORTADORA DE CARGA PESADA JJHOGO S.A.	156869
COMPAÑIA DE SEGURIDAD Y MONITOREO SEGURIMONIT CIA. LTDA.	138964
EDICIONES MEDICAS ECUATORIANAS S.A. MEDECED	101463
AUDITORY & ACCOUNTS S.A. ADACCOUNTS	128609
ALMACEN DE PINTURAS Y FERRETERIA FERROMARQUETSA S.A.	166312
HANIAK S. A.	130628
EMPRESA LATINOAMERICANA DE INGENIERIA Y COMERCIO ELAIC C LTDA	16557
OLAERNBERG REPRESENTACIONES S.A.	63431
PALAZHI ENGINEERING S.A.	179976
ROLINGLAN S.A	171512
VBEE-CELL CIA. LTDA.	32477
ARKCONSTRUCTIVA CIA. LTDA.	146756
VIZHNAY, ASOCIADOS C. LTDA.	21141
DAMICHEL C.LTDA.	18215
PATAGONIX S.A.	125372
ISKENDERUN DE ECUADOR CIA. LTDA	153469
COMPAÑIA TRANSPORTE PESADO FULLTRUCKTRANS S. A.	181414
FAST RENTACAR CIA. LTDA	90194
ELMEQUIP CIA. LTDA.	52450
CENSPRI C. LTDA.	76779
INMOBILIARIA DUVARGUELLO S.A.	23644
AGENCIA ASESORA PRODUCTORA DE SEGUROS OBP BASTIDAS CIA.LTDA.	306168
DECORJARDIN S.A.	131474
AGENCIA DE PUBLICIDAD DIGITAL VIRTUAL CREATE CREAVIRT CIA.LTDA.	703217
LEON HERMANOS CIA. LTDA.	30047
ABDONDANZA S.A.	105945
MEGAELEC CIA. LTDA.	153902
DEFFROZ S.A.	305056
ASESORAMIENTO, SEGURIDAD INTEGRAL ATENCION PREHOSPITALARIA YANAPAY AYAI S.A.	307688
LACTEOS MILKA LACMILK CIA. LTDA.	169600
TELECONSTRUCSA S.A.	715842
DISPOCLINIC S.A.	719340
DISINAGRO S.A.	58128
SANTDEV SOCIEDAD ANÓNIMA	309007
PRIME SOLUTIONS SOLUCIONESYPROYECTOSINDUSTRIALES S.A.	719344
CONSULTOFFICE C.LTDA.	313207
CELAMARCORP S.A.	101826
EUROTREND CIA.LTDA.	306386
GERGY S.A.	98733
COMPAÑIA DE TRANSPORTE DE CARGA PESADA LOGICMANATRANS S.A.	148533
INCORVALDI S.A.	156899
MILLENNIUM RIOS S.A. MILLENRIOS	84983
CORLANQUIMICA S.A.	712331
COMPAÑIA DE TRANSPORTE COMERCIAL MIXTO NARCISA DE JESÚS TRANSNARJÉ S.A.	710649
MULTISERVICIOS Y COMERCIO MULCOMLIM CIA. LTDA.	159230
DISTRIBUIDORA Y COMERCIALIZADORA DE ELEMENTOS DIDACTICOS DICODIDACTIC S.A.	180632
SERVIKLASSS S.A.	97071
SERINPE S.A.	47128
ACUIFRESH S.A.	148014
DOBROSKO S. A.	132270
SPINOX TECHNOLOGY S.A.	300990
VERIFICADORA DE CALIDAD CALIVERIF CIA. LTDA.	62468
INDUSTRIA MINA SAN PEDRO PETRUSMIN S.A.	707173
GERMAIN CORPORATION GERMAINCORPORATION CIA.LTDA.	727174
BIO NATURA CORPUS PLUS S.A. BIONACORP	169521
INTEGRALADVISORS CONSULTORES S.A.	139205
GMS MANAGEMENTSOLUTIONS ECUADOR CIA.LTDA.	721998
VIDRART C LTDA	30674
REPRESENTACIONES WIT CIA. LTDA.	156393
CAMARONERA ALICIA S.A. CAMARLICIA	97595
NEPTUNOLAB S.A.	713494
CONSTRUCTORA VIAL MOLINA ESPIN CIA. LTDA.	137916
FITOBACHI CIA. LTDA.	29607
''FERRETERIA, DECORACION Y ARTICULOS DEL HOGAR'' ''HERRERA&VIZUETE'' ''FEDELECTROHV'' CIA.LTDA.	715982
TRANSVEFATEC S. A.	181396
FRUTAS DEL VALLE DEL CHACO FRUITSVALLE S.A.	313077
GONZALO DIEZ ARQUITECTOS CIA. LTDA.	151864
REPAIR TRUCKS TALLERES QUITO SUR S.A.	170998
PLUMATEX S.A.	155560
RECTIFICADORA SUAREZ HERMANOS RECTISUAREZHNOS CIA.LTDA.	310159
QUION TRANSFERENCIAS Y SISTEMAS CIA. LTDA.	140483
TRANSPORTE WALTER TRANSWALTER CIA. LTDA.	137896
UNGERER DEL ECUADOR S.A	87137
TRANSPORTE DE CARGA PESADA INTERNACIONAL TRANSDIEFRAN S.A.	172630
COMPAÑIA DE TRANSPORTE AGRICOLA SOBRE RUEDAS, AGRIRUEDAS S.A.	172789
CELEBRITICORP S.A.	136171
CBERMUDEZ TRADING & CONSTRUCCIONES S.A. CBTRAC	141414
RATES AND RISK C.A.	93806
DEREMATE S.A.	101087
COMPAÑIA DE CARGA PESADA POR CARRETERA TRAANSNACAR S.A.	713323
MATHBRAN ECUADOR S.A.	169044
SISEC S.A. SOLUCIONES DE INGENIERIA Y SERVICIOS ECUADOR	156775
FUNERARIA SAN LUIS COBEX S.A.	319827
SUMINISTROS INDUSTRIALES Y DE FERRETERIA SUINFER S.A.	98619
STARFROST S.A.	316922
CHAVEGON COMERCIALIZADORA CIA.LTDA.	178869
CONSULTING&SERVICESTAX CONSULTAX S.A.	728504
SITHEALTH SOLUCIONES MÉDICAS VIRTUALES S.A.S.	734060
CONSTRUCTORA DE OBRAS DE INGENIERIA Y ARQUITECTURA MILANO MILANOCONSTRUC S.A.	702938
REMBRANDT Y ASOCIADOS CIA. LTDA.	600076
CORPMAPAVE S.A.	62553
BUZOS COMERCIALES PACIFIC-DIVERS S.A.	720194
ECUALISERV S.A.	164036
CERCA, CORPORACION ECUATORIANA DE RADIODIFUSION FUEGO RADIO HOT CIENTOSEIS F.M. CIA. LTDA.	12942
ROCEDI S.A.	167654
KREATHOSIMAGE IMAGEN CORPORATIVA S.A.	160502
BPACOMPANY C.L.	701828
GOMASDIM S.A.	59568
LINEMAR S.A.	76564
SEINSEL SERVICIOS DE INGENIERIA Y SOLUCIONES ELECTRICAS CIA.LTDA.	309434
SERSITO S.A.	133229
ARPVASESORES EN RIESGO DE PROCESOS CIA. LTDA.	144398
CONSTRUCCIONES & DISEÑOS SYMMETRIC S.A.	306706
LUKANI SERVICES CUISINELUCIANO S.A.	719927
VINTIMILLA Y VINTIMILLA CONSTRUCCIONES V&VROCK CIA.LTDA.	717191
DREDCOMP S.A.	108891
CENTRO DE ESPECIALIDADES MÉDICAS CARDIOCARE S.A.	727952
STARTBIEN BIENSTART ADMINISTRADORA DE BIENES Y SERVICIOS S.A.	705366
FWM GROUND SERVICES S.A.	139511
EBENEZERCOOK CIA.LTDA.	316411
ROTEGLOBAL CIA. LTDA.	159246
TECNOLOGIAS INNOVADORAS DE CAPACITACION Y ASESORIA TEKNIKAEC S.A.	180836
''COMPANIA'' TRANSPORTE PESADO PRYSCADAR S.A.	716205
BUILFORZA S.A.	144123
PEMEC PETROLEOS Y MINAS DEL ECUADOR CIA.LTDA.	305126
IMPAC SA	11945
CORDON BLUE CATERING CORDONCATERING S.A.	732094
ASESORES PARTNERS & BUSINESS ASESCONTATRIBU C.A.	716660
EXIMSA-JDLT CIA.LTDA.	709465
TRIBOLOGYEC CIA.LTDA.	301025
CORPORACIONKADMIEL CIA.LTDA.	310073
FERRIORO S.A.	147841
SPORTICORP S.A.	110423
ALPHAPLUS MEDICINA PREPAGADA INTEGRAL S.A.	718966
SELINA OPERATION BANOS SELINABANOS S.A.	724803
DELTAREDES S.A.	701494
TRANSPORTE DE CARGA LIVIANA QUANTICA SAME DAY DELIVERY S. A. SAMEDELIVERY S.A.	725288
ARIALCOM S.A.	114413
CAÑIZARES CEVALLOS CONSTRUCTORA INMOC&C S.A.	317990
PROCULCAM-ECUADOR CIA.LTDA.	162310
QUALITYSOFT INNOVATIVE SOLUTIONS Q.S.S. CIA. LTDA	91827
INMORILLO CIA. LTDA.	33320
BIRDECUADOR INTERNACIONAL CIA. LTDA.	87063
DULANTRI S.A.	62655
SILOGICCARGO S.A.	725441
DEALFINANCE S.A.	716579
AGENCIA ASESORA PRODUCTORA DE SEGUROS EQUISEGUROS EQUILIBRIO BROKER CIA.LTDA.	711954
TEXTILES FINOS ECUATORIANOS TEXFINO S.A.	303463
MAMISTORE S.A.	97778
FAVERCRIXA S.A.	167082
COMPAÑIA DE SERVICIOS GENERALES MTSERV CIA. LTDA.	156327
CONSTRUCCIONES SERVIRUIZ CIA. LTDA.	147779
IMPORT EXPORT AQUAFERTIL B&G S.A.	728605
SALUDINC S.A.	116989
INCUSEG CIA. LTDA. (INVESTIGACION, CUSTODIA Y SEGURIDAD)	167248
CARIBITO S..A	713234
INVERSIONES DEL SUR SURINV S.A.S.	319657
PLASMAGNA S.A.	178783
TELERAPID S.A.	153182
PROMOLIDERES CIA.LTDA.	304839
SAFETECHNOLOGY TECNOLOGIA EN SEGURIDAD S.A.	141340
IGLESIAS TAPIA MARKETKM CAFE S.A.	308714
GALOTI S.A.	82466
MUNDO TUERCA SA	7002
AIR TRANS COURRIER S.A. AIRCOUSRSA	118762
COMPAÑÍA SERVICIOS DOCUMENTALES AUXILIARES COMSERVDOC S.A.	172749
CONSULTORIA INTEGRAL COPRI S.A.	319349
COMPANIA DE SEGURIDAD PRIVADA AMERICANA DE SEGURIDAD AMESEGUR CIA. LTDA.	86837
BROKERSEM S.A. AGENCIA ASESORA PRODUCT	600742
TRANSPORTE GARCIA Y ASOCIADOS S.A. TRANSGARAS	169234
CULTIARROZ C. LTDA.	141293
INCAFOE GUAYAS S.A.	319448
FETALMEDIC CIA. LTDA.	161060
INDUSTRIA ACUÍCOLA CAMAROCEAN S.A.	178666
MARINES CA	19610
COMPAÑIA DE TRANSPORTE MIXTO MARGOYAL S.A.	705480
ANAEC S.A.S.	323245
SOLUCIONES TECNICAS INTEGRALES ENERPRO CIA. LTDA.	153061
MEDRIGAL S.A.	139645
AGDUAL S.A.	177389
INSTITUTO MEDICO INTEGRAL VIDA VIDAINTEGRAL CIA. LTDA.	159021
OFFNORT S.A.	84480
COMERCIALIZADORA PROVIVERA VERA MARIN PROVIVERAMAR CIA.LTDA.	701264
ECUAROCKMONT S.A.	144117
BRILCOPSCOMPANY BRILLO COMERCIAL DE EMPRENDEDORES CIA. LTDA.	169785
SELMIND SERVICIOS ELECTRICOS, MECANICOS E INDUSTRIALES S.A.	29763
TRANSPORTE ESTUDIANTIL ORO NEGRO TRAESONE C.A.	87736
PODERMUN S.A.	133314
SERVIROCER S.A.	721091
COMPAÑIA DE TRANSPORTE PESADO CIUDAD DE LAS PRIMICIAS CIUDPRIM S.A.	181668
UHMANOGLOBAL CIA.LTDA.	704742
COMERCIALIZADORA '' NACIONAL'' TRANSPORTE NACIONAL DE CARGA LTDA TNCCLTDA COMPAÑIA DE RESPONSABILIDAD LIMITADA	307556
COMPAÑÍA DE TRANSPORTE DE CARGA PESADA TURBOTRANS CIA. LTDA.	156892
LEPOUTRE S.A.	173397
CONSTRUCTORA HIDROBO ESTRADA S.A.	50532
CONSTRUCTORA ARQUIGLOBAL S.A.	715317
OCIELM CIA. LTDA.	97270
ALIMENTOS DE LA COSTA COSTAHUT S.A.	711811
CORPORACION BASICA DE SEGURIDAD CIA. LTDA. CORPOSEG	205204
METROSEGUROS C.A.	600246
PARACHUTE S.A.	717272
SILCEPARCORP S.A.	148880
SMS CONSULTING S. A. SMSCON	60346
MINERA AURÍFERA VEINTICUATRO DE ENERO MINERVEINTI S.A.	711444
NATIONALNEW S.A.	130621
DAY1AG CIA.LTDA.	315597
PRIMEPACT S.A.	318169
SU MARKET S.A. SUMARKETSA	143840
GALLETAS Y CONFITES EL CONDOR GALCONDOR CIA. LTDA.	144939
MARCEMILITRANS S. A.	179551
IAVEC INDUSTRIAL DEL ECUADOR CIA.LTDA.	181911
SUINTRANS S.A.	168675
OLIMPYCORP S.A.	4551
NEUROCOR S.A.	139056
TRANSPORTES TRANSRODAVELI CIA. LTDA.	32118
SANCHEZ CABRERA INGENIERIA & CONSTRUCCION CIA. LTDA.	167330
CALIDAD INTERNACIONAL DE CERTIFICACIONES CICAYBECE S.A.	168625
COMERCIALIZADORA GLOBE INDUSTRIES GLOBEINDSA S.A.	316622
WNETDEV S.A.	716433
ACROMUTE S.A.	169182
PINOS OPERADORA DE TURISMO PINOSTOUR CIA.LTDA.	315514
ARTECHNOLOGIES S.A.	115993
SERVICIOS PORTUARIOS PRESTADOS SERVPOPRES S.A	172113
GALED CIA.LTDA.	727099
RECTIFICADORA CONTINENTAL RDMC CIA.LTDA.	719231
LAVANDERIAS ECUATORIANAS S.A. LAVANECUA	149236
SELINA OPERATION QUITO SELINAQUITO S.A.	714311
SERVIMPORIS S.A.S.	733195
SERVICIMPORTIB S.A.S.	329621
TRANSPORTE UNIQUINEN S.A.	172520
GERMATIL S.A.	110111
MOLDES, MATRICES Y UTILLAJES S.A. (MOLMAUSA)	67191
FOXDELMAR S.A.	148189
PAGO46 S.A.	728432
COMERCIALMEGASURTIDITO COMEGASURTI CIA.LTDA.	716502
INFINITY CONSULTING I&CON S.A.S.	731794
ATOLLOCEL S.A.	172216
HOSPICONSTRUC S.A.	144341
VADOCORP S.A.	116156
FLOGUAP MULTISERVICIOS CIA. LTDA	150939
DISTRIBUIDORA DE CONSUMO MASIVO DISCEDPROM CIA.LTDA.	310706
CADENA LA GAVIOTA SA	5958
INSTRELEC S.A.S.	730091
MARKETHINK CIA.LTDA.	313566
ECUARRITMIAS S.A.	721101
EDIFIKA S.A.	319504
FORET S.A.S.	734521
DERSOL S.A.	126161
DISTRIBUIDORA LOPEZ ALVARADO DITLOPAL S.A.	714755
CIA HILVAR TRANS S. A. CIAHILVARTRANS	181931
TAKELOT S.A.	48649
FERRETERIA INDUSTRIAL ESPINOZA FERRES CIA. LTDA.	90033
PRONTOCAPITAL S.A.S.	732380
ANZEN SOLUCIONES CIBERNETICAS DEL FUTURO CIA.LTDA.	318423
SOLUCIONES INDUSTRIALES C.A. SOINDUCA	139553
INSEKOM INTEGRADORES INTEGRADORES EN TELECOMUNICACIONES INSEKOM CIA.LTDA.	304158
SOCIEDAD DIFUSORA DEL LIBRO SODILIBRO CIA. LTDA.	10158
COMERCIALIZADORA BOUTIQUE ORANGE BOUTIQUEORANGE S.A.	309274
HOME&BEAUTY CIA.LTDA.	320170
COMPAÑIA DE TRANSPORTE EXTRAPESADO Y SERVICIOS ROSEROTRUCKS S.A.	147583
PETROKEM LOGGING SERVICES CIA. LTDA.	54582
PROGROW FLORAL INSUMOS PROFLORINS CIA.LTDA.	705505
MOSQUERAIMPORT CIA.LTDA.	316083
COMISARIATO EL TITAN COMTITAN S.A.	317974
ECOLOGIA EN SERVICIOS Y LIMPIEZA EMPRESARIAL ECOLIMSE CIA. LTDA.	169944
SERVICIOS Y ANEXOS TECHUAMBO S.A.	706055
PCHOUSE S.A.	81972
RESTOMANAGERS S.A.	321860
PROCESSTOOLS PROCESOS INDUSTRIALES CIA.LTDA.	306618
DISTRIBUIDORA AGUA ESTRELLA DISTRELLA CIA. LTDA.	35606
RGM MICRO SISTEMAS COMPANIA ANONIMA (RGM)	74570
QUIMICOS ECUATORIANOS ECUAQUIM CIA. LTDA.	88009
VIRTUALIKA S.A.	128857
IRAGORRI MOSCOSO CONSTRUCTORES IMCON S.A.	312134
ADEMINSA DEL ECUADOR S.A.	110503
ODONTOLOGÍA EPECIALIZADA ODOESP CIA.LTDA.	180770
JEA.PC COMUNICACIONES S.A.	118181
PALCA SALUD Y BIENESTAR COMDISPALCA CIA.LTDA.	717779
LATZTURISMO S.A.	142018
TRANSPORTES HUGO MEJIA CIA. LTDA.	166328
ECUMINERALES S.A.	714174
CONSULTORA MULTIADVICE SA CONSULTORAMULTIADVICE SOCIEDAD ANÓNIMA	308396
METROCUMBAYA AGENCIA DE VIAJES CIA. LTDA.	164069
CLARENSA S.A.	173181
RIMAPA S.A.	729985
DOMZV CIA.LTDA.	306260
SEGURIDAD GARCIA & DOMINGUEZ Y ASOCIADOS TEVSEPRI CIA.LTDA.	182994
NAGCORP S.A.	63924
DON ALFARO AGENCIA DE PUBLICIDAD DONALFARO CIA.LTDA.	303184
ESTOCOLMASA S.A.	702620
SERTEPER S.A.	123030
ASESORES MENDIZABAL BAQUERO BAQZAL S.A.	46727
DISTRIBUIDORA LATINOAMERICANA FARMALATINA S.A.	87611
ECUADOR CONSULTING S.A. ECUALTING	138280
VOXTEC TELECOMUNICACIONES CIA. LTDA.	146705
TRANSPORTES Y SERVICIOS CORPORATIVOS TRAILERSCORP S.A.	721568
FDL FILTROS DEL LITORAL C. LTDA.	29308
BARTERXCHANGE S.A.	163553
CELULARSHOP S.A.	305918
EXITUSTRADING COMERCIALIZADORA S.A.	139613
AUTO PEREZ S.A. AUTOPESA	128303
INDUPALETS CIA. LTDA.	167661
SOLUCIONES VIRTUALES E INFRAESTRUCTURA TECNOLOGICA VIRTUALIT S.A.	154470
MILENIUMRE INTERMEDIARIO DE REASEGUROS S.A.	601069
TRANSCHIRPIL S.A.	713083
ELECTROQUIMICA S.A.	66363
DISAGROVET CIA.LTDA.	717828
PRODUCTORA DE CAMARON BALAO PROCAMBAL COMPAÑIA LIMITADA	174101
EBIT S.R.L.	726043
COMPAÑIA DE TRANSPORTE ESCOLAR E INSTITUCIONAL TRANSMANTEÑA S.A.	205148
MARISCADORA DEL PUERTO MARISPORT S.A.	135534
MASTERMEDICA S.A.	115045
GENFERINGCONS CONSTRUCCIONES CIA. LTDA.	181171
REPRESENTACIONES Y DISTRIBUCIONES JOFFRE BEJAR S.A. REPREJBSA	118506
LIMPTINS NAKARON CIA.LTDA.	704713
MAXYPLASTICS S.A.	131714
PORTCOLL S.A.	144678
COFESAN S.A.	129242
INMOBILIARIA & CONSTRUCTORA INMOMABITESA CIA.LTDA.	712977
GLOBAL TRADE PRODUCTS TRADEPRODUCTS S.A.	728457
PASTELERIA EL SALONCITO DE CASTRO PATINO C LTDA	23894
PLANIFICACION Y CONSULTORIA GERENCIAL PLACEGE CONSULTORES ASOCIADOS CIA. LTDA.	51671
ENEREAT ALIMENTOS ECUATORIANOS S.A.	706155
FITNESSCORP S.A.S.	323043
LA TEJEDORA SA LATESA	757
INTERMEDIARIA CAMARONERA-INTERCAM CIA. LTDA.	35392
HARNISTH ANDINO CIA. LTDA.	141020
PERSIFLEX S.A.	112027
DIRVAL S.A.	112745
DENAIN S.A.	99907
SEDIELEK CIA. LTDA.	155713
MCAEC DISEÑO Y EXHIBICION COMERCIAL CIA. LTDA.	172513
ASESORES LEGALES DEL ECUADOR ASESOLEG S.A.	64922
MUNDO SANO Y VERDE S.A. MUSANVERD	145395
MUNDICARGO LOGISTICS MGPL S.A.	310414
ARJUMEDICALSERVICE SERVICIOS MEDICOS Y OFTALMOLOGIA S.A.	700530
CENAPEC C LTDA	14091
COMPAÑIA DE TRANSPORTES PESADOS C.C.T. ( CAIZALITIN-CASA-TOCTAGUANO) CIA. LTDA.	96598
MARIELENA DE INVERSIONES Y SERVICIOS INMOBILIARIOS SA	41396
TRANSPORTE DE CARGA PESADA SERVPRONTGAL C.A.	726023
CHEMIUMCORP S.A.	113634
ELISIOPOLIS S.A	55505
COMPAÑIA DE TRANSPORTE DE CARGA PESADA QUIMIZ & LINO TRANSLITOQUIM S.A.	722129
TRANSPORTE DE CARGA PESADA Y COMBUSTIBLES MARIO REINOSO RAMON TRANSREINOSO C.A.	303989
ALTERNATIVA VISIONAMBIENTAL CIA. LTDA.	161783
ESTUDIO JURÍDICO SÁNCHEZ & ASOCIADOS LEXSANCON S.A.	716333
SAGACOMEX CIA. LTDA	92750
TRANSPORTEB&P S.A.	714162
ASVEGETAL S.A.	87896
TARABESA S.A.	175321
PULLA CORREA CIA. LTDA.	140924
COMPAÑIA DE TRANSPORTE TRANSJORSA COMTRAJOR S.A.	175123
SVETLANROSS CONSULTING CIA. LTDA.	54100
CABLE EXPRESS CALSALTEL CIA.LTDA.	301491
TUTIVAN S.A.	101888
REPRESENTACIONES DEL LITORAL RELIT S.A.	65091
KAIROSIMPORT S.A.	126825
CORPORACION JURIDICA GLOBELAW S.A.	131549
INDUSTRIA DE TEJIDOS ECUATORIANOS INDUTESA SA	5767
DIRECCION EMPRESARIAL S.A. DIRECSA	34595
CYPROETEC S.A.	303147
ELRINCON S.A.	183020
AVILA TRADE S.A.	84129
DISTRINAPSA S.A.	144390
COMERCIALIZADORA PROCESADORA Y PURIFICADORA DEL AUSTRO COMPROPUR S.A.	710414
TRANSPORTE Y LOGISTICA DE CARGA PESADA YANEZHNOS S.A.	702175
LUVAVAJO S.A.	148467
VALANI S.A.	114622
TRANSPORTE DE CARGA PRONEXPRE CIA. LTDA.	168191
QUIMIOGRUP S.A.	721254
GASPREMIUM S.A.	93558
TRANSPORTE Y SERVICIOS DE RENTACAR LAGOIMPERCAR S.A.	170086
TRANSMACAR S.A.	98975
FULLSTANDARD CIA.LTDA.	307524
TRANSPORMANABI C.A. TRANSPORTE MANABI DE CARGA PESADA	178002
YANDEX S.A.	320201
SOLUCIONES ORGÁNICAS GEOSORGANIC CIA. LTDA.	179020
DAGROPECA S.A.	731886
COMPAÑIA DE TRANSPORTE DE CARGA PESADA IMELDEJA CIA.LTDA.	181482
ACTIUM ASESORES LEGALES CIA.LTDA.	302360
IGUANA SOLUTIONS IGUSOL S.A.	717210
COMPANIA AMERICANA DE INGENIERIA, CAMERI C.A.	47226
LINEA DE TRANSPORTE DEL LITORAL LITRAL COMPAÑIA LIMITADA.	176112
PROVEEDORA DE REPUESTOS BATRA C LTDA	12831
BOSSMENTE S.A.	170577
COMPAÑIA TRANSPORTADORA TRANSPORTES MANSSUR MANSSURCARGA S.A.	711402
NOVOFERTIL CIA.LTDA.	719201
CIDIMER S.A.	135592
LEGACY ENTERPROXY C. A.	179361
COMPAÑIA DE TRANSPORTE URBANO DISTRITO DEL SUR DISUTRAN S.A.	150189
IRISGLOBAL ECUADOR CIA. LTDA.	172510
ECUADORTOP S.A.	123858
CLINICA DOS HEMISFERIOS CLINHEMIS CIA. LTDA	150049
EL TRIUNFO SA	3229
SULARMA S.A.S.	729987
